"grappe","exploitation","passage","typequest","s0q01","s0q02","s0q03","s0q04","s0q06","s0q09","s0q10","s0q18","s0q19","s0q20","s0q21a","s0q21b","s0q21c","s0q21d","s0q21e","s0q22a","s0q22b","s0q22c","s0q22d","s0q22e","s0q23a","s0q23b","s0q23c","s0q24","s0q25","s0q26","s0q27","s0q28","s9aq00","s9bq13","s11bq00"
1,1,1,1,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,6,9,2017,5,18,7,9,2017,0,33,6,9,2017,1,1,1,1,9,1.79769313486232e+308,1.79769313486232e+308,2
1,2,1,1,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,7,9,2017,0,37,7,9,2017,4,51,7,9,2017,1,1,1,1,12,1.79769313486232e+308,1.79769313486232e+308,1
1,3,1,2,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,7,9,2017,4,58,8,9,2017,6,59,7,9,2017,1,1,1,1,23,1,2,1
1,4,1,1,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,9,9,2017,3,35,11,9,2017,19,29,9,9,2017,1,1,1,1,49,1.79769313486232e+308,1.79769313486232e+308,1
1,5,1,1,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,10,9,2017,1,20,12,9,2017,1,19,10,9,2017,1,1,1,1,23,1.79769313486232e+308,1.79769313486232e+308,1
1,6,1,2,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,10,9,2017,20,53,12,9,2017,2,0,10,9,2017,1,1,1,1,23,2,2,1
1,7,1,1,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,11,9,2017,1,44,11,9,2017,6,15,11,9,2017,1,1,1,1,12,1.79769313486232e+308,1.79769313486232e+308,1
1,8,1,1,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,12,9,2017,2,23,12,9,2017,6,50,12,9,2017,1,1,1,1,14,1.79769313486232e+308,1.79769313486232e+308,1
1,9,1,2,1,11,1108,2,6,1,1.79769313486232e+308,21,26,26,12,9,2017,4,28,27,9,2017,23,23,12,9,2017,1,1,1,1,39,1,2,1
2,1,1,1,1,11,1108,2,11,1,1.79769313486232e+308,21,23,23,22,9,2017,9,10,22,9,2017,10,42,22,9,2017,1,1,1,1,16,1.79769313486232e+308,1.79769313486232e+308,1
2,2,1,1,1,11,1108,2,11,1,1.79769313486232e+308,21,23,23,22,9,2017,10,43,22,9,2017,12,12,22,9,2017,1,1,1,1,13,1.79769313486232e+308,1.79769313486232e+308,1
2,3,1,2,1,11,1108,2,11,1,1.79769313486232e+308,21,23,23,25,9,2017,10,42,25,9,2017,12,48,25,9,2017,1,1,1,1,17,2,2,1
2,4,1,1,1,11,1108,2,11,1,1.79769313486232e+308,21,23,23,22,9,2017,12,13,22,9,2017,15,57,22,9,2017,1,1,2,2,32,1.79769313486232e+308,1.79769313486232e+308,1
2,5,1,1,1,11,1108,2,11,1,1.79769313486232e+308,21,23,23,25,9,2017,7,51,25,9,2017,8,49,25,9,2017,1,1,1,1,8,1.79769313486232e+308,1.79769313486232e+308,1
2,6,1,2,1,11,1108,2,11,1,1.79769313486232e+308,21,23,23,25,9,2017,12,48,25,9,2017,14,36,25,9,2017,1,1,1,1,8,2,2,1
