"grappe","exploitation","passage","typequest","s0q01","s0q02","s0q03","s0q04","s0q09","s0q10","s0q18","s0q19","s0q20","s0q21a","s0q21b","s0q21c","s0q21d","s0q21e","s0q22a","s0q22b","s0q22c","s0q22d","s0q22e","s0q23a","s0q23b","s0q23c","s0q25","s0q26","s0q27","s0q28","s8aq00"
1,1,2,1,1,11,1108,2,1,1.79769313486232e+308,21,26,26,4,1,2018,23,2,5,1,2018,23,58,4,1,2018,1,1,1,9,1
1,2,2,1,1,11,1108,2,1,1.79769313486232e+308,21,26,26,6,1,2018,3,41,6,1,2018,4,20,6,1,2018,1,1,1,12,1
1,3,2,2,1,11,1108,2,1,1.79769313486232e+308,21,26,26,7,1,2018,21,13,10,1,2018,0,43,7,1,2018,1,1,1,23,1
1,4,2,1,1,11,1108,2,1,1.79769313486232e+308,21,26,26,7,1,2018,23,36,9,1,2018,1,3,7,1,2018,1,1,1,49,1
1,5,2,1,1,11,1108,2,1,1.79769313486232e+308,21,26,26,7,1,2018,21,33,9,1,2018,6,39,7,1,2018,1,1,1,23,1
1,6,2,2,1,11,1108,2,1,1.79769313486232e+308,21,26,26,7,1,2018,22,44,12,1,2018,8,54,7,1,2018,1,1,1,23,1
1,7,2,1,1,11,1108,2,1,1.79769313486232e+308,21,26,26,9,1,2018,10,21,9,1,2018,11,59,9,1,2018,1,1,1,12,1
1,8,2,1,1,11,1108,2,1,1.79769313486232e+308,21,26,26,10,1,2018,22,16,10,1,2018,23,7,10,1,2018,1,1,1,14,2
1,9,2,2,1,11,1108,2,1,1.79769313486232e+308,21,26,26,10,1,2018,23,15,12,1,2018,8,0,10,1,2018,1,1,1,39,1
2,1,2,1,1,11,1108,2,1,1.79769313486232e+308,21,23,23,19,12,2017,10,31,7,1,2018,14,25,19,12,2017,1,1,1,16,1
2,2,2,1,1,11,1108,2,1,1.79769313486232e+308,21,23,23,7,1,2018,14,33,7,1,2018,15,34,7,1,2018,1,1,1,13,1
2,3,2,2,1,11,1108,2,1,1.79769313486232e+308,21,23,23,9,1,2018,11,59,9,1,2018,14,38,9,1,2018,1,1,1,17,1
2,4,2,1,1,11,1108,2,1,1.79769313486232e+308,21,23,23,7,1,2018,15,35,8,1,2018,9,29,7,1,2018,1,2,2,32,1
2,5,2,1,1,11,1108,2,1,1.79769313486232e+308,21,23,23,8,1,2018,9,29,8,1,2018,10,47,8,1,2018,1,1,1,8,1
2,6,2,2,1,11,1108,2,1,1.79769313486232e+308,21,23,23,9,1,2018,14,38,10,1,2018,9,0,9,1,2018,1,1,1,8,1
2,7,2,1,1,11,1108,2,1,1.79769313486232e+308,21,23,23,8,1,2018,10,47,8,1,2018,11,29,8,1,2018,1,1,1,20,1
2,8,2,1,1,11,1108,2,1,1.79769313486232e+308,21,23,23,8,1,2018,11,29,8,1,2018,12,11,8,1,2018,1,1,1,4,1
2,9,2,2,1,11,1108,2,1,1.79769313486232e+308,21,23,23,10,1,2018,9,2,10,1,2018,10,21,10,1,2018,1,1,1,18,1
3,1,2,1,1,11,1102,2,1,1.79769313486232e+308,21,23,23,6,1,2018,10,35,6,1,2018,11,4,6,1,2018,1,1,1,3,1
