"grappe","exploitation","passage","s5q01","s5q02","s5q03","s5q04","s5q05","s5q06","s5q07","s5q08","s5q09","s5q10","s5q11"
1,3,1,1,2,2,2,2,2,2,2,2,2,2
1,6,1,1,2,2,2,2,2,2,2,2,2,2
1,9,1,1,2,2,2,2,2,2,2,2,2,2
2,3,1,1,2,2,2,2,2,2,2,2,2,2
2,6,1,1,2,2,2,2,2,2,2,2,2,2
2,9,1,1,2,2,2,2,2,2,2,2,2,2
3,3,1,1,2,2,2,2,2,2,2,2,2,2
3,6,1,1,2,2,2,2,2,2,2,2,2,2
3,9,1,1,2,2,2,2,2,2,2,2,2,2
4,3,1,1,2,2,2,2,2,2,2,2,2,2
4,6,1,2,2,2,2,2,2,2,2,2,2,2
4,9,1,1,2,2,2,2,2,2,2,2,2,2
5,3,1,7,1,2,2,1,2,2,2,2,1,1
5,6,1,2,2,2,2,1,2,2,2,2,1,1
5,9,1,1,2,1,1,1,2,2,2,2,1,1
6,3,1,1,2,2,2,2,2,2,2,2,2,2
6,6,1,1,1,2,2,2,2,2,2,2,1,1
6,9,1,1,2,2,2,2,2,2,2,2,2,2
7,3,1,1,2,2,2,2,2,2,2,2,2,2
7,6,1,1,2,2,2,2,2,2,2,2,2,2
7,9,1,1,2,2,2,2,2,2,2,2,2,2
8,3,1,1,2,2,2,2,2,2,2,2,2,2
8,6,1,1,2,2,2,2,2,2,2,2,2,2
8,9,1,1,2,2,2,2,2,2,2,2,2,2
9,3,1,1,2,2,2,2,2,2,2,2,2,2
9,6,1,1,2,2,2,2,2,2,2,2,2,2
9,9,1,1,2,2,2,2,2,2,2,2,2,2
10,3,1,1,2,2,2,2,2,2,2,2,2,2
10,6,1,1,2,2,2,2,2,2,2,2,2,2
10,9,1,1,2,2,2,2,2,2,2,2,2,2
11,3,1,1,2,2,2,2,2,2,2,2,2,2
11,6,1,1,2,2,2,2,2,2,2,2,2,2
11,9,1,1,2,2,2,2,2,2,2,2,2,2
12,3,1,2,2,2,2,2,2,2,2,2,2,2
12,6,1,1,2,2,2,2,2,2,2,2,2,2
12,9,1,3,2,2,2,2,2,2,2,2,2,2
13,3,1,1,2,2,2,2,2,2,2,2,2,2
13,6,1,1,2,2,2,2,2,2,2,2,2,2
13,9,1,1,2,2,2,2,2,2,2,2,2,2
14,3,1,1,2,2,2,2,2,2,2,2,2,2
14,6,1,3,2,2,2,2,2,2,2,2,2,2
14,9,1,1,2,2,2,2,2,2,2,2,2,2
15,3,1,2,2,2,2,2,2,2,2,2,2,2
15,6,1,2,2,2,2,2,2,2,2,2,2,2
15,9,1,1,2,2,2,2,2,2,2,2,2,2
16,3,1,1,2,2,2,2,2,2,2,2,2,2
16,6,1,1,2,2,2,2,2,2,2,2,2,2
16,9,1,1,2,2,2,2,2,2,2,2,2,2
17,3,1,1,1,2,2,2,2,2,2,2,1,1
17,6,1,1,2,2,2,2,2,2,2,2,2,2
17,9,1,1,2,2,2,1,2,2,2,2,2,1
18,3,1,1,2,2,2,2,2,2,2,2,2,2
18,6,1,1,2,2,2,2,2,2,2,2,2,2
18,9,1,1,2,2,2,2,2,2,2,2,2,2
19,3,1,1,2,2,2,2,2,2,2,2,2,2
19,6,1,1,2,2,2,2,2,2,2,2,2,2
19,9,1,1,2,2,2,2,2,2,2,2,2,2
20,3,1,1,2,2,2,2,2,2,2,2,2,2
20,6,1,1,2,2,2,2,2,2,2,2,2,2
20,9,1,1,2,2,2,2,2,2,2,2,2,2
21,3,1,1,2,2,2,2,2,2,2,2,2,2
21,6,1,1,2,2,2,2,2,2,2,2,2,2
22,3,1,1,2,2,2,2,2,2,2,2,2,2
22,6,1,1,2,2,2,2,2,2,2,2,2,2
22,9,1,1,2,2,2,2,2,2,2,2,2,2
23,3,1,1,2,2,2,2,2,2,2,2,2,2
23,6,1,1,2,2,2,2,2,2,2,2,2,2
23,9,1,1,2,2,2,2,2,2,2,2,2,2
25,1,1,1,2,2,2,2,2,1,2,2,2,1
25,2,1,1,2,2,2,2,2,2,2,2,2,2
25,3,1,1,2,2,2,2,2,2,2,2,2,2
25,4,1,1,1,2,2,1,2,2,2,2,2,1
25,5,1,1,2,2,2,1,2,2,2,2,2,1
25,6,1,1,2,1,2,2,2,2,2,2,2,1
25,7,1,1,1,2,1,2,1,2,2,2,2,1
25,8,1,1,2,2,2,2,2,2,2,2,2,2
25,9,1,1,2,2,1,1,2,2,1,2,2,1
26,1,1,1,2,2,2,2,2,2,2,2,2,2
26,2,1,2,2,1,2,2,2,2,2,2,2,1
26,3,1,1,2,2,2,2,2,2,2,2,2,2
26,4,1,1,2,2,2,2,2,2,2,2,2,2
26,5,1,1,2,2,2,2,2,2,2,2,2,2
26,6,1,1,2,2,2,2,2,2,2,2,2,2
26,7,1,4,2,2,2,2,2,2,2,2,2,2
26,8,1,2,2,2,2,2,2,2,2,2,2,2
26,9,1,1,2,2,2,2,2,2,2,2,2,2
27,1,1,2,2,1,2,2,2,2,2,2,2,1
27,2,1,2,2,2,2,2,2,2,2,2,2,2
27,3,1,1,2,2,2,2,2,2,2,2,2,2
27,4,1,2,2,2,2,2,2,2,2,2,2,2
27,5,1,2,2,2,2,1,2,2,2,2,2,1
27,6,1,2,2,2,2,2,2,2,2,2,2,2
27,7,1,2,2,2,2,2,2,2,2,2,2,2
27,8,1,2,2,1,2,2,2,2,2,2,2,1
