"grappe","exploitation","passage","extension","s5q12","s5q13","s5q14","s5q15","s5q16a","s5q16b","s5q17a","s5q17b","s5q18a","s5q18b","s5q19a","s5q19b","s5q20","s5q21","s5q22","s5q23","s5q24","s5q25","s5q26","s5q27","s5q28","s5q29","s5q30","s5q31","s5q32","s5q33","s5q34","s5q35","s5q36","s5q37","s5q38","s5q39","s5q40","s5q41","s5q42","s5q43","s5q44","s5q45","s5q46","s5q47","s5q48","s5q49","s5q50","s5q51a1","s5q51b1","s5q51c1","s5q51d1","s5q51a2","s5q51b2","s5q51c2","s5q51d2","s5q51a3","s5q51b3","s5q51c3","s5q51d3","s5q51a4","s5q51b4","s5q51c4","s5q51d4","s5q52a1","s5q52b1","s5q52c1","s5q52d1","s5q52a2","s5q52b2","s5q52c2","s5q52d2","s5q52a3","s5q52b3","s5q52c3","s5q52d3"
5,3,1,1,1,7,"Fabrication de pâtes",122,2,8,2,8,2,8,99,2013,0,1.79769313486232e+308,4,1.79769313486232e+308,10,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,1,11500,3,6,0,70000,0,0,0,0,0,91000,0,0,0,0,0,1,12,1.79769313486232e+308,2,12,25,8,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,6,1,1,1,2,"Culture des fruits e",16,2,1,2,0,2,0,99,9999,0,1.79769313486232e+308,8,1.79769313486232e+308,1,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,3,6,650000,650000,0,10000,0,0,750000,0,0,0,0,0,0,1,12,1.79769313486232e+308,3,12,12,6,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,9,1,1,1,19,"Fabrication d’articl",165,12,18,1,1,1,12,99,2016,1,3,1,50000,11,1,150000,2,1.79769313486232e+308,2,1.79769313486232e+308,1,50000,3,6,0,50000,0,15000,0,0,0,0,200000,5000,3000,0,0,1,12,1.79769313486232e+308,12,12,30,98,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,6,1,1,1,2,"Services domestiques",425,2,0,2,0,2,0,98,9998,0,1.79769313486232e+308,4,1.79769313486232e+308,1,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,2,2,3,98,8,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,3,1,1,1,4,"Fabrication de pâtes",122,4,0,4,0,4,0,98,9998,1,5,4,1.79769313486232e+308,6,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,1,100000,5,5,150000,5000,0,0,0,0,200000,300000,0,50000,0,0,0,1,98,1,4,98,98,98,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,9,1,1,1,1,"Commerce de détail g",316,1,0,1,0,1,0,12,2009,0,1.79769313486232e+308,4,1.79769313486232e+308,1,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,1,700000,1,1,0,200000,60000,0,0,0,0,150000,0,500000,2000,75000,0,1,8,3,1,12,30,10,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,1,1,1,1,1,"Transformation et co",132,8,9,8,9,8,9,98,9998,0,1.79769313486232e+308,3,1.79769313486232e+308,1,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,1,10000,3,1,12500,10000,5000,15000,0,5000,25000,25000,0,15000,0,0,0,1,12,1.79769313486232e+308,8,12,30,2,9,12,30,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,4,1,1,1,1,"Commerce de détail g",316,1,2,1,2,1,2,98,2013,0,1.79769313486232e+308,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1,350000,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1,500000,200000,10000,15000,0,0,75000,75000,0,50000,10000,10000,0,1,12,1.79769313486232e+308,2,0,30,15,1,12,30,15,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,5,1,1,1,1,"Activités d’action s",413,1,9,1,9,1,9,12,9998,10,1,4,1.79769313486232e+308,1,2,1.79769313486232e+308,1,350000,2,1.79769313486232e+308,1,100000,3,1,150000,150000,10000,15000,0,0,100000,100000,0,50000,0,0,0,1,12,1.79769313486232e+308,1,12,30,20,9,12,30,20,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,6,1,1,1,5,"Commerce de détail d",319,5,0,5,0,5,0,12,9998,0,1.79769313486232e+308,3,1.79769313486232e+308,10,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1,150000,150000,5000,0,0,5000,200000,0,0,30000,50000,0,0,1,12,1.79769313486232e+308,5,0,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
