"grappe","passage","exploitation","s6q00","s6q01","s6q02","s6q03","s6q04","s6q05","s6q06","s6q07a","s6q07b","s6q08","s6q09a","s6q09b","s6q09c","s6q10","s6q11a","s6q11b","s6q11c","s6q12","s6q13","s6q14","s6q15","s6q16a","s6q16b"
1,1,1,2,3,2,1,1,3,2,34,34,30,40,1,0,30,40,1,0,2,2,2,6,2,3
1,1,2,1,3,6,1,3,3,4,34,34,100,40,45,0,100,45,1,0,2,2,2,6,1,3
1,1,3,1,3,10,1,1,1,2,34,34,100,45,1,0,100,45,1,0,2,2,2,6,1,3
1,1,4,1,3,20,1,1,1,2,34,34,100,45,1,0,100,45,1,0,2,1,2,6,1,3
1,1,5,1,3,10,1,1,1,2,34,34,100,40,1,0,100,40,1,0,2,1,2,6,1,3
1,1,6,1,3,14,1,1,1,2,34,34,100,40,1,0,100,40,1,0,2,1,2,6,1,3
1,1,7,1,1,4,1,3,1,2,34,34,100,40,1,0,100,40,1,0,2,2,2,6,1,3
1,1,8,1,3,10,1,1,1,2,34,34,100,40,1,0,100,40,1,0,2,2,2,6,1,3
1,1,9,1,3,20,1,3,5,3,14,14,100,30,45,0,100,30,45,0,4,2,2,6,1,3
2,1,1,2,4,5,2,3,3,3,14,14,50,30,1,30,30,30,0,45,3,4,2,7,1,3
2,1,2,1,4,5,2,3,3,3,14,14,100,45,1,45,30,30,0,45,3,4,2,7,1,3
2,1,3,1,4,6,2,3,3,2,14,14,200,30,1,30,200,30,0,30,3,4,2,7,1,3
2,1,4,1,4,10,2,3,3,3,14,14,200,30,1,30,200,30,0,40,3,4,2,7,1,3
2,1,5,1,4,4,2,3,3,2,14,14,200,30,1,10,30,30,0,45,3,4,2,7,1,3
2,1,6,1,4,4,2,3,3,3,14,14,300,20,1,30,300,20,0,30,3,4,2,7,1,3
2,1,7,1,4,10,2,3,3,2,14,14,200,30,1,30,200,30,0,30,3,4,2,7,1,3
2,1,8,1,4,4,2,3,3,2,14,14,200,30,1,30,200,30,0,30,3,4,2,7,1,3
2,1,9,1,4,10,2,3,3,2,14,14,200,30,1,30,200,30,0,30,3,4,2,7,1,2
3,1,1,2,4,4,3,3,3,4,32,32,50,30,1,30,30,30,0,30,4,2,2,7,1,3
3,1,2,1,4,4,2,3,4,4,22,22,20,3,1,15,20,20,0,20,4,2,2,7,1,3
3,1,3,1,5,3,2,3,7,3,14,14,800,45,1,15,800,45,1,15,3,4,2,7,1,3
3,1,4,1,4,15,2,3,3,3,22,22,50,20,1,20,50,50,0,50,3,4,2,7,1,3
3,1,5,1,4,2,2,3,4,4,22,22,50,40,1,30,40,40,0,40,3,4,2,7,1,3
3,1,6,1,4,2,2,3,7,4,14,14,800,40,1,30,800,40,0,40,3,4,2,7,1,3
3,1,7,1,4,3,2,3,7,4,22,22,1,30,1,30,50,5,0,5,3,4,2,7,1,3
3,1,8,1,4,9,2,3,3,3,22,22,200,40,1,40,200,40,0,40,3,4,2,7,1,3
3,1,9,2,4,2,2,3,3,4,14,14,200,25,1,0,200,20,0,45,3,4,2,7,1,3
4,1,1,1,5,6,1,1,3,2,14,14,1000,40,1,15,1000,40,1,20,2,1,2,1,2,3
4,1,2,1,3,1,5,1,1,2,14,14,1000,40,1,20,1000,40,1,20,2,1,2,1,2,3
4,1,3,1,2,20,1,1,1,2,14,14,1000,40,1,20,1000,40,1,20,2,1,2,1,2,3
4,1,4,1,2,10,1,1,1,2,12,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,2,1,2,3
4,1,5,2,3,6,1,1,1,2,14,14,1000,40,1,20,1000,40,1,20,2,1,2,6,2,3
4,1,6,2,3,2,1,1,1,2,14,14,1000,40,1,20,1000,40,1,20,2,1,2,6,2,3
4,1,7,1,1,11,1,1,1,2,14,14,1000,35,1,1,1000,35,1,0,2,1,2,1,1,3
4,1,8,1,2,15,1,1,1,2,14,14,1000,40,1,20,1000,14,1,20,2,1,2,1,2,3
4,1,9,1,3,3,5,1,1,2,14,14,1000,40,1,20,1000,40,1,20,2,1,2,1,2,3
5,1,1,2,3,8,2,1,1,2,14,14,2000,60,1,0,2000,60,0,20,2,1,2,6,3,2
5,1,2,1,4,5,2,3,3,2,14,14,1500,30,0,30,1500,30,0,30,2,1,2,6,1,3
5,1,3,7,4,5,2,3,3,2,14,14,1500,30,2,0,1500,30,1,0,2,2,2,6,2,0
5,1,4,1,3,5,2,1,3,2,14,14,3000,60,1,0,3000,60,1,0,2,2,2,6,2,3
5,1,6,2,3,3,5,1,3,2,14,14,1000,30,2,30,1000,30,2,30,2,1,1,7,3,0
