"grappe","exploitation","passage","s9q00","s9q01","s9q02a","s9q02d","s9q02e","s9q02f","s9q03","s9q04","s9q05","s9q06","s9q07","s9q08","s9q09","s9q10","s9q11","s9q12a","s9q12b"
1,3,1,1,1,1,1,25,1.79769313486232e+308,4,1,998,2,1,4,5,1,3,50000,1
1,9,1,1,1,1,1,72,1.79769313486232e+308,2,1,998,1,1,10,5,1,3,100000,1
4,3,1,1,1,1,1,41,1.79769313486232e+308,4,1,998,3,2,1.79769313486232e+308,4,1,3,2000000,5
6,6,1,1,1,1,1,35,1.79769313486232e+308,4,1,40,1,1,3,5,1,5,150000,1
6,9,1,1,1,1,1,64,1.79769313486232e+308,2,1,38,1,2,1.79769313486232e+308,5,1,5,200000,1
7,3,1,1,1,1,1,54,1.79769313486232e+308,5,1,998,5,2,1.79769313486232e+308,5,1,3,100000,1
7,9,1,1,1,1,1,35,1.79769313486232e+308,4,1,40,5,2,1.79769313486232e+308,5,1,4,12500,1
9,3,1,1,1,1,1,70,1.79769313486232e+308,2,1,28,1,1,7,5,3,1,100000,1
9,6,1,1,1,1,1,60,1.79769313486232e+308,2,1,27,1,1,5,2,1,3,50000,1
10,6,1,1,1,1,1,71,1.79769313486232e+308,4,1,55,2,1,15,5,1,3,75000,2
11,3,1,1,1,1,1,38,1.79769313486232e+308,4,1,28,1,1,2,6,1,6,5000,2
11,6,1,1,1,1,1,60,1.79769313486232e+308,4,1,41,2,1,14,5,1,3,300000,2
11,9,1,1,1,1,1,79,1.79769313486232e+308,2,1,35,2,1,9,5,1,3,100000,2
12,3,1,1,1,1,1,81,1.79769313486232e+308,4,1,45,1,1,2,5,1,3,400000,2
12,6,1,1,1,1,1,55,1.79769313486232e+308,2,1,35,1,1,6,5,1,3,300000,2
12,9,1,1,1,1,1,80,1.79769313486232e+308,2,1,40,2,1,8,5,1,3,250000,2
13,3,1,1,1,1,1,50,1.79769313486232e+308,4,1,46,1,1,10,5,1,3,700000,2
13,6,1,1,1,1,1,59,1.79769313486232e+308,1,1,60,1,1,10,5,1,3,150000,2
13,9,1,1,1,7,2,58,1.79769313486232e+308,2,1,998,1,1,5,4,1,3,100000,3
17,6,1,1,1,1,1,33,1.79769313486232e+308,6,1,998,1,2,1.79769313486232e+308,5,1,6,40000,4
25,1,1,1,1,1,1,74,1.79769313486232e+308,2,1,998,1,1,10,4,1,3,200000,1
25,6,1,1,1,1,1,38,1.79769313486232e+308,4,1,998,1,1,5,6,1,3,200000,1
25,7,1,1,1,1,1,55,1.79769313486232e+308,2,1,998,3,1,10,5,1,3,250000,2
25,8,1,1,1,1,2,37,1.79769313486232e+308,1,1,998,2,1,15,5,1,3,100000,1
25,9,1,2,1,1,1,65,1.79769313486232e+308,4,1,40,3,1,13,5,1,3,200000,1
26,1,1,1,1,1,2,28,1.79769313486232e+308,5,1,998,1,2,1.79769313486232e+308,5,1,3,50000,4
26,3,1,1,1,1,2,37,1.79769313486232e+308,1,1,998,2,1,2,5,1,3,200000,1
26,9,1,1,1,1,1,45,1.79769313486232e+308,5,1,998,1,1,0,5,1,3,200000,1
27,7,1,1,2,2,2,28,1.79769313486232e+308,1,1,2,1,1,0,5,1,3,200000,1
28,5,1,1,2,1,1,52,1.79769313486232e+308,4,1,998,1,2,1.79769313486232e+308,5,1,6,0,4
28,7,1,1,1,1,1,38,1.79769313486232e+308,2,2,25,2,1,3,1,1,6,15000,4
29,3,1,1,1,1,2,29,1.79769313486232e+308,4,2,998,1,2,1.79769313486232e+308,5,1,2,25000,4
29,8,1,1,1,1,2,49,1.79769313486232e+308,2,1,30,1,1,6,5,1,3,50000,1
30,1,1,1,1,1,2,36,1.79769313486232e+308,4,2,998,3,2,1.79769313486232e+308,5,1,6,75000,4
30,2,1,1,1,1,2,55,1.79769313486232e+308,2,2,998,2,1,8,5,1,3,75000,1
30,4,1,1,2,2,2,24,1.79769313486232e+308,3,2,998,1,2,1.79769313486232e+308,5,1,6,100000,4
30,6,1,1,1,1,2,32,1.79769313486232e+308,1,1,55,1,1,0,5,1,3,75000,1
30,7,1,2,1,1,1,50,1.79769313486232e+308,4,1,45,3,1,2,5,1,3,50000,1
30,8,1,1,2,6,1,62,1.79769313486232e+308,4,1,998,1,1,3,5,1,6,150000,4
