"grappe","exploitation","passage","s11a1q01","s11a1q02","s11a1q03a","s11a1q03d","s11a1q04","s11a1q05","s11a1q06"
1,2,1,1,1,1,1,1,2,1
1,3,1,1,1,1,1,1,2,1
1,4,1,1,1,1,1,1,2,1
1,5,1,1,1,1,1,1,2,1
1,6,1,1,1,1,1,1,2,1
1,7,1,1,1,1,1,1,2,1
1,8,1,1,1,1,1,1,2,1
1,9,1,1,1,1,1,1,2,1
2,1,1,1,1,1,1,1,2,1
2,2,1,1,1,1,1,1,2,1
2,3,1,1,1,1,1,1,2,1
2,4,1,1,1,1,1,1,2,1
2,5,1,1,1,1,1,1,1,1
2,6,1,1,1,1,1,1,2,1
2,7,1,1,1,1,1,1,2,1
2,8,1,1,1,1,1,1,2,1
2,9,1,1,1,1,1,1,2,1
3,1,1,1,1,1,1,2,1,1
3,2,1,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1
3,4,1,1,4,4,1,1,1,1
3,5,1,1,1,1,1,1,1,1
3,6,1,1,1,1,1,1,1,1
3,7,1,1,1,1,1,1,1,1
3,8,1,1,1,1,1,1,1,1
3,9,1,1,1,1,1,2,1,1
4,7,1,1,1,1,1,1,2,1
6,1,1,1,1,1,1,1,2,1
6,2,1,1,1,1,1,1,2,1
6,4,1,1,1,1,1,1,2,1
6,5,1,1,1,1,1,1,2,1
6,6,1,1,1,1,1,1,2,1
6,7,1,1,1,1,1,1,2,1
6,8,1,1,1,1,1,1,2,1
6,9,1,1,1,1,1,1,2,1
7,1,1,1,1,1,1,1,2,1
7,2,1,1,1,1,1,1,2,1
7,3,1,1,1,1,1,1,2,1
7,4,1,1,1,1,2,1,2,1
7,5,1,1,1,1,1,1,2,1
7,6,1,1,1,1,1,1,2,1
7,7,1,1,1,1,1,1,2,1
7,8,1,1,1,1,1,1,2,1
7,9,1,1,1,1,1,1,2,1
8,1,1,1,1,1,1,1,2,1
8,2,1,1,1,1,1,1,2,1
8,3,1,1,1,1,1,1,2,1
8,4,1,1,1,1,1,1,2,1
8,6,1,1,1,1,1,1,2,1
8,7,1,1,1,1,1,1,2,1
8,8,1,1,1,1,1,1,2,1
8,9,1,1,1,1,1,1,2,1
9,1,1,1,1,1,1,1,2,1
9,2,1,1,1,1,1,1,2,1
9,3,1,1,1,1,1,1,2,1
9,4,1,1,1,1,1,1,2,1
9,5,1,1,1,1,1,1,2,1
9,6,1,1,1,1,1,1,2,1
9,7,1,1,1,1,1,1,2,1
9,8,1,1,1,1,1,1,2,1
9,9,1,1,1,1,1,1,2,1
10,1,1,1,1,1,1,1,2,1
10,2,1,1,5,1,1,1,2,1
10,3,1,1,1,1,1,2,2,1
10,4,1,2,1,1,1,2,2,1
10,5,1,1,1,1,1,1,2,1
10,6,1,1,1,1,1,2,2,1
10,7,1,2,1,1,1,1,2,2
10,8,1,1,1,1,1,2,2,1
10,9,1,2,1,1,1,1,1,1
11,1,1,1,1,1,1,2,2,1
11,2,1,1,1,1,1,2,2,1
11,3,1,1,1,1,1,1,2,1
11,4,1,1,1,1,1,2,2,1
11,5,1,1,1,1,2,2,2,1
11,6,1,1,1,1,1,1,2,1
11,7,1,2,1,1,1,1,2,2
11,8,1,1,15,1,1,1,2,1
11,9,1,1,1,1,1,2,2,1
12,1,1,1,1,1,1,1,2,1
12,2,1,1,1,1,1,1,2,1
12,3,1,1,2,2,2,1,2,1
12,4,1,1,1,1,1,1,2,1
12,5,1,1,16,16,1,1,2,1
12,6,1,1,1,1,1,1,2,1
12,7,1,1,1,1,1,1,2,1
12,8,1,1,1,1,1,1,2,1
12,9,1,1,19,19,1,1,2,1
13,1,1,1,1,1,1,1,2,1
13,2,1,1,1,1,1,1,2,1
13,3,1,1,1,1,1,1,2,1
13,4,1,1,1,1,1,1,2,1
13,5,1,1,1,1,1,1,2,1
13,6,1,1,1,1,1,1,2,1
13,7,1,1,1,1,1,1,2,1
13,8,1,1,10,10,1,1,2,1
13,9,1,1,1,1,1,1,2,1
14,1,1,1,1,1,1,1,2,1
14,2,1,1,1,1,1,1,2,1
14,3,1,1,1,1,1,1,2,1
14,4,1,1,1,1,1,1,2,1
14,5,1,2,8,1,1,1,2,2
14,6,1,1,4,1,1,1,2,1
14,7,1,1,1,9,2,1,2,1
14,8,1,1,1,1,1,1,2,1
14,9,1,1,1,1,1,1,2,1
15,1,1,1,11,1,1,1,2,1
15,2,1,1,1,1,1,1,2,1
15,3,1,1,2,1,1,1,2,1
15,4,1,1,1,1,1,1,2,1
