"grappe","exploitation","passage","s11a2q01","s11a2q02","s11a2q03","s11a2q04a","s11a2q04b","s11a2q04c","s11a2q05a","s11a2q05b","s11a2q05c"
1,2,1,1,104,1.79769313486232e+308,1,4,5,1,4,50
1,3,1,1,102,1,2,4,50,2,3,50
1,4,1,1,104,1.79769313486232e+308,10,4,50,10,4,50
1,5,1,1,104,1.79769313486232e+308,2,4,100,2,4,100
1,6,1,1,102,1,3,4,50,3,4,50
1,7,1,1,104,1.79769313486232e+308,1,4,5,1,4,5
1,8,1,1,103,1.79769313486232e+308,3,4,50,5,4,50
1,9,1,1,102,1,8,4,100,10,4,100
2,1,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,2,4,100
2,2,1,1,102,1.79769313486232e+308,150,2,100,2,4,100
2,3,1,1,0,1,0,1.79769313486232e+308,1.79769313486232e+308,2,4,50
2,4,1,1,102,1.79769313486232e+308,1,4,100,0,1.79769313486232e+308,1.79769313486232e+308
2,5,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,2,4,100
2,6,1,1,0,1,0,1.79769313486232e+308,1.79769313486232e+308,150,4,50
2,7,1,1,102,1.79769313486232e+308,150,4,100,2,4,100
2,8,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1,4,100
2,9,1,1,102,1,1,4,100,2,4,100
3,1,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308
3,2,1,1,102,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,2,4,0
3,3,1,1,102,1,0,1.79769313486232e+308,1.79769313486232e+308,6,4,100
3,4,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,3,4,0
3,5,1,1,102,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,2,4,0
3,6,1,1,102,1,0,1.79769313486232e+308,1.79769313486232e+308,2,4,100
3,7,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,2,4,0
3,8,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,3,4,0
3,9,1,1,102,1,1,4,100,0,1.79769313486232e+308,1.79769313486232e+308
4,7,1,1,104,1.79769313486232e+308,2,4,50,2,4,50
6,1,1,1,103,1.79769313486232e+308,1,4,50,1,4,50
6,2,1,1,102,1.79769313486232e+308,9,4,100,6,4,100
6,4,1,1,104,1.79769313486232e+308,1,4,100,0,1.79769313486232e+308,1.79769313486232e+308
6,5,1,1,104,1.79769313486232e+308,3,4,100,8,4,100
6,6,1,1,103,1,10,4,50,4,4,50
6,7,1,1,103,1.79769313486232e+308,5,4,50,2,4,50
6,8,1,1,103,1.79769313486232e+308,4,4,50,6,4,50
6,9,1,1,102,1,2,4,100,2,4,100
7,1,1,1,102,1.79769313486232e+308,1,4,100,2,4,100
7,2,1,1,103,1.79769313486232e+308,3,4,50,5,4,50
7,3,1,1,104,1,3,4,100,1,4,100
7,4,1,1,104,1.79769313486232e+308,3,4,100,2,4,100
7,5,1,1,104,1.79769313486232e+308,4,4,100,5,4,100
7,6,1,1,103,1,1,4,50,1,4,50
7,7,1,1,103,1.79769313486232e+308,1,4,50,5,4,50
7,8,1,1,103,1.79769313486232e+308,3,4,50,6,4,50
7,9,1,1,103,1,2,4,50,6,4,50
8,1,1,1,104,1.79769313486232e+308,2,4,100,1,4,100
8,2,1,1,103,1.79769313486232e+308,1,4,50,1,4,50
8,3,1,1,102,1,1,4,100,2,4,100
8,4,1,1,102,1.79769313486232e+308,1,4,100,2,4,100
8,6,1,1,104,1,2,4,100,1,4,100
8,7,1,1,104,1.79769313486232e+308,1,4,100,5,4,100
8,8,1,1,103,1.79769313486232e+308,8,4,100,20,4,100
8,9,1,1,103,1,1,4,50,1,4,50
9,1,1,1,102,1.79769313486232e+308,1,4,100,10,4,100
9,2,1,1,104,1.79769313486232e+308,2,4,100,3,4,100
9,3,1,1,103,1,1,4,100,1,4,50
9,4,1,1,101,1.79769313486232e+308,3,4,100,2,4,100
9,5,1,1,101,1.79769313486232e+308,1,4,100,2,4,100
9,6,1,1,102,1,2,4,100,1,4,100
9,7,1,1,104,1.79769313486232e+308,1,4,100,2,4,100
9,8,1,1,102,1.79769313486232e+308,1,4,100,2,4,100
9,9,1,1,103,1,1,4,100,2,4,100
10,1,1,1,103,1.79769313486232e+308,6,4,100,3,4,100
10,2,1,1,102,1.79769313486232e+308,5,4,100,10,4,100
10,3,1,1,103,1,1,4,50,2,4,50
10,4,1,2,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308
10,5,1,1,103,1.79769313486232e+308,4,4,50,3,4,50
10,6,1,1,102,1,4,4,100,1,4,100
10,7,1,1,102,1.79769313486232e+308,2,4,100,1,4,100
10,8,1,1,103,1.79769313486232e+308,2,4,50,1,4,50
10,9,1,1,102,1,1,4,50,1,4,100
11,1,1,1,102,1.79769313486232e+308,1,4,100,3,4,100
11,2,1,1,103,1.79769313486232e+308,3,4,50,1,4,100
11,3,1,1,102,1,5,4,100,7,4,100
11,4,1,1,103,1.79769313486232e+308,3,4,50,4,4,50
11,5,1,1,103,1.79769313486232e+308,10,4,50,5,4,50
11,6,1,1,104,1,5,4,100,7,4,100
11,7,1,1,102,1.79769313486232e+308,10,4,100,5,4,100
11,8,1,1,102,1.79769313486232e+308,4,4,100,6,4,100
11,9,1,1,102,1,7,4,100,10,4,100
12,1,1,1,102,1.79769313486232e+308,4,1,100,6,1,100
12,2,1,1,102,1.79769313486232e+308,5,1,100,6,1,100
12,3,1,1,103,2,4,1,50,12,1,50
12,4,1,1,103,1.79769313486232e+308,10,1,50,4,1,50
12,5,1,1,102,1.79769313486232e+308,4,1,100,8,1,100
12,6,1,1,103,1,3,1,50,6,1,50
12,7,1,1,103,1.79769313486232e+308,1,1,50,3,1,50
12,8,1,1,103,1.79769313486232e+308,1,1,50,1,1,50
12,9,1,1,102,19,8,1,100,4,1,100
13,1,1,1,102,1.79769313486232e+308,1,4,100,2,4,100
13,2,1,1,102,1.79769313486232e+308,2,4,100,1,4,100
13,3,1,1,102,1,3,4,100,4,4,100
13,4,1,1,102,1.79769313486232e+308,4,4,100,6,4,100
13,5,1,1,103,1.79769313486232e+308,1,4,100,10,4,50
13,6,1,1,103,1,3,4,50,4,4,50
13,7,1,1,101,1.79769313486232e+308,2,4,100,0,1.79769313486232e+308,1.79769313486232e+308
13,8,1,1,102,1.79769313486232e+308,3,4,100,6,4,100
