"grappe","exploitation","passage","s11cq01","s11cq02","s11cq03","s11cq05","s11cq06","s11cq07","s11cq08","s11cq09","s11cq10","s11cq11a","s11cq11b","s11cq12","s11cq13","s11cq14a","s11cq14b","s11cq15","s11cq16a","s11cq16b","s11cq16c","s11cq17","s11cq18"
1,2,1,1,1,121,1,1,100,2,1.79769313486232e+308,2,5,2,2,1.79769313486232e+308,15,7,2,6,4,100,2,9
1,3,1,1,1,102,1,1,100,2,1.79769313486232e+308,2,12.5,2,2,1.79769313486232e+308,20,7,2,6,4,100,2,9
1,4,1,6,1,121,8,1,100,2,1.79769313486232e+308,2,7.5,2,2,1.79769313486232e+308,30,7,2,4,4,100,3,9
1,5,1,3,1,121,1,1,100,2,1.79769313486232e+308,2,1,2,2,1.79769313486232e+308,20,7,2,6,4,100,3,9
1,6,1,3,1,121,1,1,100,2,1.79769313486232e+308,2,18,2,2,1.79769313486232e+308,25,7,2,5,4,100,3,9
1,7,1,3,1,121,1,1,100,2,1.79769313486232e+308,2,30,2,2,1.79769313486232e+308,25,7,2,10,4,100,3,9
1,8,1,3,1,102,1,1,100,2,1.79769313486232e+308,2,5,2,2,1.79769313486232e+308,17,7,2,5,4,100,3,9
1,9,1,3,1,120,1,1,100,2,1.79769313486232e+308,2,2.5,2,2,1.79769313486232e+308,27,7,2,4,4,50,3,9
2,1,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,5,2,1,1000,10,6,2,3,4,100,2,2
2,2,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,3,2,2,1.79769313486232e+308,13,6,2,2,2,100,2,2
2,3,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,6,2,1,1500,5,7,2,3,4,100,2,2
2,4,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,70,2,2,1.79769313486232e+308,20,7,2,0,4,100,2,2
2,5,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,100,2,1,7500,10,7,2,10,4,100,2,2
2,6,1,3,2,121,1,1,100,2,1.79769313486232e+308,1,10,2,1,5000,7,7,2,3,4,50,2,2
2,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,10,7,2,5,4,100,2,2
2,8,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,8,2,1,2000,25,7,2,4,4,50,2,2
2,9,1,1,2,104,1,1,100,2,1.79769313486232e+308,1,10,2,1,2500,16,7,2,2,4,50,2,2
3,1,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,8,2,1,5000,5,8,2,5,4,0,3,2
3,2,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,18,2,1,4500,10,6,2,4,4,0,1,2
3,3,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,18,2,1,5400,10,6,2,4,4,100,2,2
3,4,1,1,1,104,4,1,100,2,1.79769313486232e+308,1,22,2,1,5500,6,6,2,5,4,0,2,2
3,5,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,10,2,1,2500,8,6,2,3,4,0,2,2
3,6,1,1,2,102,1,1,100,2,1.79769313486232e+308,1,11,2,1,3500,11,6,2,3,4,100,1,2
3,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,13.5,2,1,3900,15,6,2,4,4,0,1,2
3,8,1,3,1,208,1,1,100,2,1.79769313486232e+308,1,5,2,1,600,3,7,2,5,7,0,1,2
3,9,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,15,6,1,4,4,100,2,2
4,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,2,10,2,2,1.79769313486232e+308,30,7,2,10,4,100,3,9
5,1,1,1,2,120,2,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,1,7,2,1,4,100,3,5
5,2,1,1,2,121,1,1,100,2,1.79769313486232e+308,1,80,2,2,1.79769313486232e+308,7,7,2,12,1,1,2,5
5,3,1,1,1,120,7,1,100,2,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,1,7,2,400,1,1,1,11
5,4,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,10,2,1,7500,1,6,2,600,1,1,3,2
5,7,1.79769313486232e+308,2,1,121,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,6,2,1,5000,24,6,2,4,4,100,2,9
6,2,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,15,2,1,1500,21,6,2,10,4,100,2,9
6,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,20,6,2,5,4,100,2,9
6,5,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,11,2,2,1.79769313486232e+308,20,6,2,7,4,100,2,9
6,6,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,18,6,2,3,4,100,2,9
6,7,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,16,2,2,1.79769313486232e+308,21,6,2,7,4,100,2,6
6,8,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,14,2,2,1.79769313486232e+308,22,6,2,6,4,100,2,9
6,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,22,6,2,7,4,100,1,9
7,1,1,5,1,121,1,1,100,2,1.79769313486232e+308,1,40,2,2,1.79769313486232e+308,20,7,2,7,4,100,2,9
7,2,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,35,2,2,1.79769313486232e+308,20,7,2,6,4,100,1,9
