"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod","hors_mali","hors_mali_utm","erreur_projection","hors_mali_reel","proche_frontiere","dans_eau_suspect","zone_humide_twi","zone_non_cultivee","zone_inhabitee","erreur_saisie","derive_gps","exploitation","passage","cluster","doublon","nb_grappes_cluster","nb_passages_cluster","nb_exploitations_cluster","origine_doublon","distance_centre","suspect_distance","score","niveau","decision","surface_gps_m2","surface_gps_ha","hybrid_V8_prop","surface_cultivee_ha"
1,19,94,4,19,292,284,624,210,504,140,10,312,1.5,64,14,1,1,1,1,1,1,1,560,426,18,644,18,498,0.2921,0.3839,0.3142,0.3503,"offset",14.6111907855,-11.3652868033,0,0,0,0,60594.3241935015,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",579482.98993322,0,1,"A_verifier","Verifier_manuel",31401.5737457955,3.14015737457955,0.1,0.314015737457955
2,16,92,3,16,292,284,627,210,506,130,7,312,1.5,63,14,1,1,1,1,1,1,1,564,429,19,646,18,505,0.2846,0.3727,0.3023,0.3472,"offset",14.5785269451,-11.3795467759,0,0,0,0,61459.5987314562,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",580391.716382215,0,1,"A_verifier","Verifier_manuel",31401.5737457843,3.14015737457843,0.07,0.21981101622049
3,12,77,4,12,292,286,618,210,506,50,3,312,1.6,46,14,1,1,1,1,1,1,1,561,425,19,632,18,504,0.2774,0.3587,0.291,0.3263,"offset",14.5727195171,-11.5036226588,0,0,0,0,51435.3444476799,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",593894.410395331,0,1,"A_verifier","Verifier_manuel",31401.5737457434,3.14015737457434,0.03,0.0942047212372301
4,5,82,1,5,292,283,638,212,515,2250,25,312,2.1,42,14,1,1,1,1,1,1,1,573,446,19,662,18,530,0.2709,0.3443,0.2643,0.3368,"offset",14.469902561,-11.4219397555,0,0,0,0,66034.4068756889,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",583055.591871416,0,1,"A_verifier","Verifier_manuel",31401.5737458197,3.14015737458197,0.25,0.785039343645494
5,7,79,2,7,292,282,643,214,520,1770,26,312,3.4,50,14,1,1,1,1,1,1,1,586,450,19,685,18,545,0.2797,0.3566,0.255,0.3253,"offset",14.4322335689,-11.4794761157,0,0,0,0,64612.6043661228,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",588769.227419713,0,1,"A_verifier","Verifier_manuel",31401.5737458211,3.14015737458211,0.26,0.81644091739135
6,66,34,16,66,295,294,529,192,431,220,12,312,1.9,27,14,1,1,1,1,1,1,1,523,393,19,624,17,483,0.2775,0.3537,0.2968,0.3293,"offset",14.6976500984,-11.9773298154,0,0,0,0,8227.18847958631,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",648303.223475851,0,0,"Bon","Garder",31401.5737457545,3.14015737457545,0.12,0.376818884949055
7,50,41,5,50,298,301,586,202,472,150,34,312,1.7,34,13,1,1,1,1,1,1,1,548,414,19,636,17,488,0.299,0.3791,0.2971,0.3368,"offset",14.6190630039,-11.8564269967,0,0,0,0,22662.9561439409,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",633509.967284254,0,0,"Bon","Garder",31401.5737457788,3.14015737457788,0.34,1.06765350735648
8,41,49,2,41,299,302,605,206,488,200,29,312,1.8,35,15,1,1,1,1,1,1,1,548,414,19,650,17,490,0.2977,0.3787,0.2968,0.3321,"offset",14.6113794257,-11.7734347613,0,0,0,0,28818.9602665938,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",624251.659251027,0,0,"Bon","Garder",31401.5737458258,3.14015737458258,0.29,0.910645638628948
9,23,63,3,23,294,292,622,213,511,290,29,312,2,39,15,1,1,1,1,1,1,1,556,422,19,656,18,515,0.296,0.3748,0.2846,0.3147,"offset",14.5191721805,-11.6417013219,0,0,0,0,45442.0638297315,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",608092.705360593,0,0,"Bon","Garder",31401.5737456442,3.14015737456442,0.29,0.910645638623681
10,89,42,11,89,294,296,388,139,329,140,0,312,1.6,68,13,3,3,3,2,2,2,3,441,335,19,535,17,415,0.2143,0.274,0.2116,0.2613,"comm_ctr",15.2077182238,-11.7025599862,0,0,0,0,14123.352003222,0,0,0,0,0,0,1,1,1,1,2,1,1,"Meme_zone_jittering_legitime",631581.336833579,0,1,"A_verifier","Fusionner_jittering",31401.5737457708,3.14015737457708,0,0
11,89,42,11,89,294,296,388,139,329,140,0,312,1.6,68,13,3,3,3,2,2,2,3,441,335,19,535,17,415,0.2143,0.274,0.2116,0.2613,"comm_ctr",15.2077182238,-11.7025599862,0,0,0,0,14123.352003222,0,0,0,0,0,0,1,1,1,1,2,1,1,"Meme_zone_jittering_legitime",631581.336833579,0,1,"A_verifier","Fusionner_jittering",31401.5737457708,3.14015737457708,0,0
12,85,49,16,85,294,296,406,145,342,110,0,312,1.5,59,14,3,3,3,2,2,2,3,461,350,19,546,17,431,0.2231,0.2898,0.2324,0.294,"offset",15.1057046743,-11.7890592616,0,0,0,0,6596.96406264157,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",637803.763657307,0,0,"Bon","Garder",31401.5737458202,3.14015737458202,0,0
